code,distance,rounds,noise_model,error_rate,decoder,bp_method,max_bp_iterations,ms_scaling_factor,osd_method,osd_order,loss_function,layers,shots,fails,dec_time_per_shot
surface,3,3,cl,001,bp,product_sum,20,0.0,,,,,1000,2,0.000115467738
surface,3,3,cl,007,bp,product_sum,20,0.0,,,,,1000,73,0.000382960398
surface,3,3,cl,005,bp,product_sum,20,0.0,,,,,1000,34,0.00038365221000000003
surface,3,3,cl,009,bp,product_sum,20,0.0,,,,,1000,98,0.000513733673
surface,3,3,cl,003,bp,product_sum,20,0.0,,,,,1000,15,0.000185437206
surface,3,3,cl,001,bposd,product_sum,20,0.0,OSD_CS,20,,,1000,0,9.669402099999999e-05
surface,3,3,cl,007,bposd,product_sum,20,0.0,OSD_CS,20,,,1000,36,0.000647473724
surface,3,3,cl,005,bposd,product_sum,20,0.0,OSD_CS,20,,,1000,19,0.00036266886
surface,3,3,cl,009,bposd,product_sum,20,0.0,OSD_CS,20,,,1000,44,0.000771035244
surface,3,3,cl,003,bposd,product_sum,20,0.0,OSD_CS,20,,,1000,6,0.000234855878
surface,3,3,cl,001,nbp,product_sum,20,,,,He=s,20,1000,2,0.002684054319
surface,3,3,cl,007,nbp,product_sum,20,,,,He=s,20,1000,67,0.021306160586
surface,3,3,cl,005,nbp,product_sum,20,,,,He=s,20,1000,33,0.014734239877
surface,3,3,cl,009,nbp,product_sum,20,,,,He=s,20,1000,107,0.032726317206
surface,3,3,cl,003,nbp,product_sum,20,,,,He=s,20,1000,18,0.009689652945
surface,3,3,cl,001,nbposd,product_sum,20,,OSD_CS,20,He=s,20,1000,4,0.0026159419440000002
surface,3,3,cl,007,nbposd,product_sum,20,,OSD_CS,20,He=s,20,1000,78,0.022269057445
surface,3,3,cl,005,nbposd,product_sum,20,,OSD_CS,20,He=s,20,1000,49,0.016600039009
surface,3,3,cl,009,nbposd,product_sum,20,,OSD_CS,20,He=s,20,1000,99,0.031633023039
surface,3,3,cl,003,nbposd,product_sum,20,,OSD_CS,20,He=s,20,1000,16,0.009252741895
